p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
296811,11970015,GATEWAY NATIONAL GOLF LINKS,1,88,2816221,2054200,,,,,,,,,,,,,,,,,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,18000000,17000000,16000000,15000000,,,,,,,
314829,11938810,WOOD RIVER REFINERY,9,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485890338,548564677,458603066,442836144,441565340,427839757,655378329,882916901
314830,11938810,WOOD RIVER REFINERY,8,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545912086,602337600,809573974,707991447,719535877,697169879,697705815,698241751
314847,11938020,STEIN STEEL MILL SERVICES,1,90,2820652,2132962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1940000,2948000,2948000,2108000,2648000,3466000,3034000,2564000,2094000
323962,16339220,KETTLER CASTING CO INC,2,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95760,,,,,,,,,,
348353,13370020,WITTENAUER FARMS,1,80,2768381,1888989,,,,,,,,,,,,,,,,,,,,,,,,,,,462000,3168000,39600,4752000,9504000,14256000,19008000,,,,,,
400115,11990250,EDWARDSVILLE,12,112,2847136,2102129,,,,,,,,,,,,,,,,,,180643110,170867113,220023461,231825957,239905736,181342933,190986435,214000000,272649555,217613726,198164351,255244737,250714110,251175856,202302375.5,153428895,104555414.5,,,,405462805,
400116,11990250,EDWARDSVILLE,13,112,2846693,2102146,,,,,,,,,,,,,,,,,,180643115,170867113,220023461,231825956,239905736,181342933,190986435,214000000,272649555,217613725,198164351,255244737,250714110,251175857,202302376,153428895,104555414,,,,405462805,
400117,11938050,CHEMETCO INC,5,84,,,,,,,,,,,,,,,,,,,,,,,,195000,195000,195000,195000,195000,195000,195000,195000,244550,213890,365000,516110,,,,,,
402804,11938015,SPENCER T. OLIN GOLF COURSE,1,115,,,,,,,,,,,28800000,77000000,51105000,63504000,6495000,90800000,75500000,75500000,350333333.3,625166666.7,900000000,800000000,409000000,18000000,20000000,20020000,25025000,30000000,35000000,14878094,14878094,14878094,14878094,,,,,,,,
402805,11938050,CHEMETCO INC,1,122,,,98581000,99994500,81229500,61326000,7416000,10192500,35230500,41359500,16929000,18486000,12046500,15309000,19836000,24363000,,,,,10037500,20075000,30112500,,,,,,,,,,,,,,,,,,
402806,11938050,CHEMETCO INC,2,122,,,126232000,187659000,81229500,52857000,19737000,21825000,29344500,17523000,18234000,22392000,26550000,,,,,,,,30112500,20075000,10037500,,,,,,,,,,,,,,,,,,
402808,11938050,CHEMETCO INC,4,100,,,,,,,,,,,,,14377500,21879000,26046000,30213000,,,,,,,,,,,,,,,,,,,,,,,,,
402810,11938080,AMERICAN CAN CO,3,65,,,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402811,11938100,ALTON STEEL CO,1,92,,,,,,190000000,155520000,285000000,38880000,388800000,181400000,160600000,90720000,64360000,38000000,216000000,331000000,331000000,630720000,630720000,711648000,478800000,245952000,,,,,,,,,1621448,,,,,,,,,
402812,11938100,ALTON STEEL CO,2,91,,,,,,,38880000,46000000,38880000,90740000,142600000,124100000,71280000,61710000,52140000,42570000,33000000,33000000,500000,500000,500000,,,,,,,,,,,,,,,,,,,,
402813,11938100,ALTON STEEL CO,3,95,,,893520000,808000000,807000000,380000000,233280000,432000000,129600000,440640000,446800000,445300000,525600000,898800000,725000000,490000000,276000000,276000000,276000000,,,,,,,,,,,,,,,,,,,,,,
