,owner,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,ALHAMBRA,0.053388090349075976,0.05475701574264202,0.06023271731690623,0.06433949349760437,0.06464065708418891,0.06570841889117043,0.06297056810403832,0.06844626967830253,0.06570841889117043,0.06981519507186859,0.07392197125256673,0.06995208761122518,0.06844626967830253,0.07636960985626283,0.06570841889117043,0.06723613963039014,0.06730458590006844,0.05998494182067077,0.0526652977412731,0.051326488706365504,0.04973305954825462,0.04973305954825462,0.04694045174537988,0.04780287474332649,0.050253251197809726,0.04935523613963039,0.05172347707049966,0.05173990417522245,0.04563175906913073,0.04611772758384668,0.04660369609856263,0.04441067761806981,0.044194934976043806,0.042540725530458595,0.04855578370978782,0.05659137577002053,0.05307049965776865,0.04954962354551677,0.05215058179329226
1,ALTON STEEL CO,2.446324435318275,2.212183436002738,2.209445585215606,1.5605749486652978,1.1709240246406571,2.0889801505817935,0.5677207392197126,2.2708829568788502,2.110335386721424,1.998631074606434,1.8825462012320329,2.4607802874743325,2.088980150581793,1.9329226557152634,1.7522245037645447,1.7522245037645447,1.7281861738535251,1.7281861738535251,1.9483860369609858,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885,1.31088295687885
2,AMERICAN COLLOID PROCESSING SA,,5.4757015742642024e-05,0.00013689253935660506,0.0002190280629705681,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05,8.213552361396303e-05
3,BALDWIN LAKE F & W AREA,,,,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,0.0004970841889117043,7.494866529774127e-05,0.0006995208761122519,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05,4.503764544832307e-05
4,BEELMAN RIVER TERMINALS INC.,,,,,,,,,,,,,,,,,,,,,,,0.002135523613963039,0.00530403832991102,0.024404167008898015,0.028964980150581795,0.03203203285420945,0.05160922929500342,0.0072510609171800135,0.017335277207392197,0.013939679671457905,0.013939679671457905,0.013939679671457905,0.013939679671457905,0.013939679671457905,0.013939679671457905,0.013939679671457905,0.013939679671457905,0.013939679671457905
5,BERGMANN TAYLOR SEEDS INC,,,,,,,,,,,,,,,,,,,0.011498973305954825,0.011498973305954825,0.011498973305954825,0.011498973305954825,0.011498973305954825,0.011498973305954825,0.011498973305954825,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775,0.010130047912388775
6,BETHALTO,1.4174839151266254,1.4242464065708418,1.4628281861738537,1.5503463381245721,1.4978431211498975,1.5395618891170428,1.631912306639288,1.6522850047912387,1.6033073237508555,1.4516659794661189,1.5030034140999315,1.470518814510609,1.5404928076659825,1.5622067214236826,1.5464476468172486,1.557051329226557,1.5526132785763176,1.5378736025553275,1.5231339265343373,1.5083942505133472,1.6589349760438057,1.6621218370978783,1.7996303353867213,1.7088815879534565,1.671030800821355,1.5824914442162903,1.6670335386721424,1.504613278576318,1.504613278576318,1.4088323066392883,1.428835044490075,1.4724572210814513,1.4427652292950035,1.4159315541409994,1.3890978789869954,1.3890978789869954,1.3890978789869954,1.3890978789869954,1.3890978789869954
7,BP PRODUCTS - NORTH AMERICAN,1.8863791923340179,3.487802874743327,3.6622915811088297,4.231698836413415,3.5669141683778234,2.8291022587268992,2.5754715947980835,2.2683258042436685,2.3901984941820666,2.4380632808578597,2.4859280675336524,2.5337928542094454,2.598220396988364,3.247775496235455,2.0161790554414782,1.4735550992470912,2.328900862422998,1.9548254620123202,1.4151348391512664,1.4499110198494183,1.6904344969199179,1.7679178644763862,1.9516550308008214,1.9390554414784393,1.6354496919917865,1.3363942505133468,1.8185790554414785,1.7151868583162218,1.9453305954825462,1.8827433264887063,1.500665297741273,1.2385675564681726,1.038513018480493,0.43534718685831625,0.9229798767967146,1.3297458726899385,1.5345294455852156,0.8341945188227242,0.8341945188227242
8,C M LOHR INC,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00032854209445585213,0.00032854209445585213,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.00016427104722792606,0.0008870636550308009,0.0008870636550308009,0.000889801505817933,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304,0.0008213552361396304
9,CERRO COPPER PRODUCTS,,0.32854209445585214,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891,0.2464065708418891
